,stand,long,lat,what3words
0,Aitkin,-93.43,46.655,attainable.lecturers.tablets
1,Anoka,-93.265,45.225,restore.mango.nutritious
2,Becker,-95.68,46.935,thinkers.luck.grossly
3,Beltrami,-95.005,47.98,detonate.cheerless.decent
4,Benton,-94.055,45.69,watch.proudly.digesting
5,Big Stone,-96.465,45.38,primer.poppy.factored
6,Blue Earth,-94.065,44.055,gentlemen.stuns.swallowing
7,Brown,-94.24,44.3,inputs.dragon.airports
8,Carlton,-92.675,46.59,rezoning.cope.disorderly
9,Carver,-93.765,44.81,applicants.hesitate.emulated
10,Cass,-94.29,46.88,commercials.qualifying.tile
11,Chippewa,-95.63,44.95,farmers.riding.daffodils
12,Chisago,-92.89,45.51,celebration.massive.champions
13,Clay,-96.495,46.94,raven.flashed.childcare
14,Clearwater,-95.38,47.585,excellent.clinically.averts
15,Cook,-90.265,47.725,simulate.readjusted.latching
16,Cottonwood,-95.165,44.02,marinated.sensations.different
17,Crow Wing,-94.085,46.48,mice.interesting.food
18,Dakota,-93.03,44.7,airport.describe.vitamin
19,Dodge,-92.86,44.02,important.pouch.phrases
20,Douglas,-95.45,45.93,overshadow.animator.parsnips
21,Faribault,-93.945,43.675,tactical.perform.illustrates
22,Fillmore,-92.085,43.675,scrolling.marinated.warms
23,Freeborn,-93.345,43.67,disappeared.behalf.feared
24,Goodhue,-92.635,44.45,farmers.gathering.campaigning
25,Grant,-96.01,45.93,splinters.healthier.clowns
26,Hennepin,-93.47,45.015,colleague.inner.guilty
27,Houston,-91.47,43.675,disposal.mincing.superficial
28,Hubbard,-94.915,47.105,scorch.certain.taker
29,Isanti,-93.26,45.575,dislodged.foils.elbowed
30,Itasca,-93.73,47.455,dales.nylon.sung
31,Jackson,-95.155,43.67,drag.roadway.laundry
32,Kanabec,-93.285,45.94,traced.lamppost.badminton
33,Kandiyohi,-95.005,45.15,slant.miraculous.incomplete
34,Kittson,-96.8,48.77,collapsing.limp.weedy
35,Koochiching,-93.755,48.28,envisioned.saunas.mild
36,Lac qui Parle,-96.1,45.035,leathers.sleeping.benefit
37,Lake,-91.41,47.565,essence.wasted.pixies
38,Lake of the Woods,-94.895,48.875,cockpit.good.folder
39,Le Sueur,-93.775,44.37,peach.nerd.solidly
40,Lincoln,-96.265,44.415,refurbish.fuzzy.mammals
41,Lyon,-95.835,44.415,bowling.unlock.winced
42,McLeod,-94.255,44.805,trains.pundits.intrigues
43,Mahnomen,-95.81,47.32,enjoys.errand.educations
44,Marshall,-96.375,48.355,pulp.celebrities.explode
45,Martin,-94.55,43.675,inclines.accredited.tile
46,Meeker,-94.505,45.11,unsigned.desired.clauses
47,Mille Lacs,-93.62,45.9,patching.advise.tangling
48,Morrison,-94.21,46.065,dial.cheered.culture
49,Mower,-92.745,43.67,episodes.expressions.walked
50,Murray,-95.765,44.02,restoration.burn.clearer
51,Nicollet,-94.35,44.305,hushed.voters.shrink
52,Nobles,-95.75,43.675,jabs.evenly.frosts
53,Norman,-96.455,47.325,awarded.leafing.smacked
54,Olmsted,-92.38,44.015,ripe.becomes.frown
55,Otter Tail,-95.71,46.41,keener.unintended.agrees
56,Pennington,-96.045,48.05,drainage.landowners.keynote
57,Pine,-92.715,46.07,inhalation.perkily.nods
58,Pipestone,-96.26,44.02,loudness.force.frustrating
59,Polk,-96.34,47.835,amicably.captures.inhibition
60,Pope,-95.44,45.595,noisy.converters.salads
61,Ramsey,-93.105,45.005,rats.latter.wanted
62,Red Lake,-96.095,47.865,doorframe.imagine.intercepts
63,Redwood,-95.235,44.445,debit.tightly.departure
64,Renville,-94.98,44.675,spice.accountant.concur
65,Rice,-93.28,44.37,parkway.acrobat.usually
66,Rock,-95.755,43.67,flagging.tattoo.caviar
67,Roseau,-95.745,48.775,lakes.spares.hurls
68,St. Louis,-92.375,47.5,ever.magnifying.riverbeds
69,Scott,-93.595,44.68,forbidding.fingernail.describes
70,Sherburne,-93.83,45.405,redemption.scars.director
71,Sibley,-94.195,44.585,every.amounting.underworld
72,Stearns,-94.59,45.53,showing.resurfaced.keys
73,Steele,-93.225,44.02,launched.grows.amounts
74,Stevens,-96,45.585,icicle.cement.retract
75,Swift,-95.68,45.28,respected.futures.clockwork
76,Todd,-94.895,46.07,river.goggles.sketchbook
77,Traverse,-96.555,45.795,voltages.chairlift.helm
78,Wabasha,-92.205,44.28,tolerable.uniformity.faded
79,Wadena,-94.95,46.59,calculates.before.panic
80,Waseca,-93.585,44.02,commenced.dotted.original
81,Washington,-92.88,45.02,restraints.miracles.cocoons
82,Watonwan,-94.61,43.98,pickle.simulation.direct
83,Wilkin,-96.515,46.325,cover.nuances.rumbles
84,Winona,-91.78,44.015,highbrow.interactive.oracle
85,Wright,-93.885,45.2,shudders.tech.innocently
86,Yellow Medicine,-95.91,44.73,matched.attempt.mend
